Freq.	V(vo)/V(Vi)
1.45545908058195e+002	(-4.07408566008450e+001dB,-9.05350874771092e+001°)
1.45881426027534e+002	(-4.07208347415188e+001dB,-9.05362812417049e+001°)
1.46217717445671e+002	(-4.07008127816299e+001dB,-9.05374778621629e+001°)
1.46554784095590e+002	(-4.06807907199406e+001dB,-9.05386773449617e+001°)
1.46892627764385e+002	(-4.06607685565225e+001dB,-9.05398796965139e+001°)
1.47231250243271e+002	(-4.06407462908276e+001dB,-9.05410849232897e+001°)
1.47570653327588e+002	(-4.06207239221516e+001dB,-9.05422930317831e+001°)
1.47910838816819e+002	(-4.06007014502511e+001dB,-9.05435040284707e+001°)
1.48251808514594e+002	(-4.05806788745714e+001dB,-9.05447179198706e+001°)
1.48593564228699e+002	(-4.05606561947104e+001dB,-9.05459347125076e+001°)
1.48936107771090e+002	(-4.05406334099549e+001dB,-9.05471544129357e+001°)
1.49279440957898e+002	(-4.05206105200525e+001dB,-9.05483770276995e+001°)
1.49623565609442e+002	(-4.05005875243627e+001dB,-9.05496025633833e+001°)
1.49968483550236e+002	(-4.04805644227057e+001dB,-9.05508310265619e+001°)
1.50314196609001e+002	(-4.04605412141281e+001dB,-9.05520624238695e+001°)
1.50660706618673e+002	(-4.04405178984454e+001dB,-9.05532967619095e+001°)
1.51008015416413e+002	(-4.04204944751625e+001dB,-9.05545340473235e+001°)
1.51356124843619e+002	(-4.04004709434732e+001dB,-9.05557742867870e+001°)
1.51705036745932e+002	(-4.03804473034951e+001dB,-9.05570174869322e+001°)
1.52054752973248e+002	(-4.03604235539545e+001dB,-9.05582636544974e+001°)
1.52405275379728e+002	(-4.03403996950412e+001dB,-9.05595127961429e+001°)
1.52756605823806e+002	(-4.03203757256315e+001dB,-9.05607649186316e+001°)
1.53108746168202e+002	(-4.03003516456791e+001dB,-9.05620200286716e+001°)
1.53461698279928e+002	(-4.02803274546725e+001dB,-9.05632781330151e+001°)
1.53815464030302e+002	(-4.02603031515578e+001dB,-9.05645392384707e+001°)
1.54170045294954e+002	(-4.02402787365904e+001dB,-9.05658033517746e+001°)
1.54525443953840e+002	(-4.02202542086345e+001dB,-9.05670704797743e+001°)
1.54881661891247e+002	(-4.02002295674777e+001dB,-9.05683406292690e+001°)
1.55238700995807e+002	(-4.01802048125194e+001dB,-9.05696138071003e+001°)
1.55596563160506e+002	(-4.01601799432339e+001dB,-9.05708900201249e+001°)
1.55955250282694e+002	(-4.01401549590157e+001dB,-9.05721692752196e+001°)
1.56314764264094e+002	(-4.01201298595657e+001dB,-9.05734515792570e+001°)
1.56675107010813e+002	(-4.01001046441963e+001dB,-9.05747369391493e+001°)
1.57036280433354e+002	(-4.00800793123719e+001dB,-9.05760253618276e+001°)
1.57398286446620e+002	(-4.00600538634003e+001dB,-9.05773168542315e+001°)
1.57761126969933e+002	(-4.00400282968179e+001dB,-9.05786114233159e+001°)
1.58124803927037e+002	(-4.00200026124674e+001dB,-9.05799090760321e+001°)
1.58489319246110e+002	(-3.99999768092632e+001dB,-9.05812098194007e+001°)
1.58854674859776e+002	(-3.99799508869658e+001dB,-9.05825136604112e+001°)
1.59220872705115e+002	(-3.99599248450244e+001dB,-9.05838206060891e+001°)
1.59587914723672e+002	(-3.99398986827318e+001dB,-9.05851306634868e+001°)
1.59955802861465e+002	(-3.99198723995320e+001dB,-9.05864438396626e+001°)
