Freq.	V(vo)
1.51008015416413e+02	(-2.42853505730260e-04dB,-9.21085853451273e+00°)
1.51356124843619e+02	(-2.42780960386508e-04dB,-9.23213823443058e+00°)
1.51705036745932e+02	(-2.42708233796808e-04dB,-9.25346731454261e+00°)
1.52054752973248e+02	(-2.42635327256291e-04dB,-9.27484589097508e+00°)
1.52405275379728e+02	(-2.42562242078414e-04dB,-9.29627408013814e+00°)
1.52756605823806e+02	(-2.42488979620026e-04dB,-9.31775199872688e+00°)
1.53108746168202e+02	(-2.42415541273662e-04dB,-9.33927976372189e+00°)
1.53461698279928e+02	(-2.42341928470426e-04dB,-9.36085749239012e+00°)
1.53815464030302e+02	(-2.42268142682892e-04dB,-9.38248530228564e+00°)
1.54170045294954e+02	(-2.42194185408708e-04dB,-9.40416331125047e+00°)
1.54525443953840e+02	(-2.42120058202416e-04dB,-9.42589163741526e+00°)
1.54881661891247e+02	(-2.42045762638812e-04dB,-9.44767039920023e+00°)
1.55238700995807e+02	(-2.41971300347659e-04dB,-9.46949971531585e+00°)
1.55596563160506e+02	(-2.41896672989579e-04dB,-9.49137970476364e+00°)
1.55955250282694e+02	(-2.41821882278234e-04dB,-9.51331048683703e+00°)
1.56314764264094e+02	(-2.41746929960074e-04dB,-9.53529218112208e+00°)
1.56675107010813e+02	(-2.41671817822052e-04dB,-9.55732490749838e+00°)
1.57036280433354e+02	(-2.41596547701267e-04dB,-9.57940878613976e+00°)
1.57398286446620e+02	(-2.41521121477249e-04dB,-9.60154393751513e+00°)
1.57761126969933e+02	(-2.41445541075818e-04dB,-9.62373048238936e+00°)
1.58124803927037e+02	(-2.41369808462332e-04dB,-9.64596854182397e+00°)
1.58489319246110e+02	(-2.41293925657117e-04dB,-9.66825823717803e+00°)
1.58854674859776e+02	(-2.41217894717144e-04dB,-9.69059969010900e+00°)
1.59220872705115e+02	(-2.41141717754354e-04dB,-9.71299302257344e+00°)
1.59587914723672e+02	(-2.41065396926975e-04dB,-9.73543835682799e+00°)
1.59955802861465e+02	(-2.40988934446274e-04dB,-9.75793581543003e+00°)
1.60324539069002e+02	(-2.40912332564024e-04dB,-9.78048552123869e+00°)
1.60694125301286e+02	(-2.40835593594677e-04dB,-9.80308759741553e+00°)
1.61064563517825e+02	(-2.40758719892226e-04dB,-9.82574216742547e+00°)
1.61435855682647e+02	(-2.40681713875274e-04dB,-9.84844935503760e+00°)
1.61808003764305e+02	(-2.40604578001000e-04dB,-9.87120928432599e+00°)
1.62181009735891e+02	(-2.40527314802766e-04dB,-9.89402207967060e+00°)
1.62554875575047e+02	(-2.40449926835148e-04dB,-9.91688786575812e+00°)
1.62929603263970e+02	(-2.40372416744339e-04dB,-9.93980676758276e+00°)
1.63305194789432e+02	(-2.40294787213175e-04dB,-9.96277891044718e+00°)
1.63681652142779e+02	(-2.40217040984281e-04dB,-9.98580441996328e+00°)
1.64058977319952e+02	(-2.40139180858146e-04dB,-1.00088834220531e+01°)
1.64437172321491e+02	(-2.40061209696012e-04dB,-1.00320160429498e+01°)
1.64816239152549e+02	(-2.39983130425659e-04dB,-1.00552024091982e+01°)
1.65196179822900e+02	(-2.39904946027911e-04dB,-1.00784426476561e+01°)
1.65576996346951e+02	(-2.39826659536627e-04dB,-1.01017368854946e+01°)
1.65958690743754e+02	(-2.39748274076318e-04dB,-1.01250852501996e+01°)
1.66341265037015e+02	(-2.39669792806210e-04dB,-1.01484878695723e+01°)
1.66724721255104e+02	(-2.39591218970393e-04dB,-1.01719448717300e+01°)
1.67109061431069e+02	(-2.39512555865032e-04dB,-1.01954563851072e+01°)
1.67494287602642e+02	(-2.39433806868261e-04dB,-1.02190225384567e+01°)
1.67880401812254e+02	(-2.39354975408361e-04dB,-1.02426434608498e+01°)
1.68267406107045e+02	(-2.39276064998477e-04dB,-1.02663192816779e+01°)
1.68655302538872e+02	(-2.39197079206720e-04dB,-1.02900501306530e+01°)
1.69044093164324e+02	(-2.39118021692815e-04dB,-1.03138361378089e+01°)
1.69433780044731e+02	(-2.39038896162778e-04dB,-1.03376774335016e+01°)
1.69824365246172e+02	(-2.38959706419058e-04dB,-1.03615741484110e+01°)
1.70215850839493e+02	(-2.38880456332573e-04dB,-1.03855264135408e+01°)
1.70608238900310e+02	(-2.38801149838854e-04dB,-1.04095343602206e+01°)
1.71001531509027e+02	(-2.38721790955400e-04dB,-1.04335981201056e+01°)
1.71395730750840e+02	(-2.38642383786505e-04dB,-1.04577178251784e+01°)
1.71790838715757e+02	(-2.38562932504929e-04dB,-1.04818936077497e+01°)
1.72186857498599e+02	(-2.38483441369259e-04dB,-1.05061256004590e+01°)
1.72583789199018e+02	(-2.38403914717162e-04dB,-1.05304139362759e+01°)
1.72981635921508e+02	(-2.38324356972129e-04dB,-1.05547587485006e+01°)
1.73380399775412e+02	(-2.38244772633836e-04dB,-1.05791601707652e+01°)
1.73780082874935e+02	(-2.38165166299360e-04dB,-1.06036183370345e+01°)
1.74180687339159e+02	(-2.38085542642925e-04dB,-1.06281333816071e+01°)
1.74582215292048e+02	(-2.38005906422653e-04dB,-1.06527054391161e+01°)
1.74984668862463e+02	(-2.37926262504674e-04dB,-1.06773346445301e+01°)
1.75388050184174e+02	(-2.37846615826480e-04dB,-1.07020211331543e+01°)
1.75792361395867e+02	(-2.37766971421998e-04dB,-1.07267650406316e+01°)
1.76197604641161e+02	(-2.37687334426413e-04dB,-1.07515665029430e+01°)
1.76603782068614e+02	(-2.37607710057843e-04dB,-1.07764256564092e+01°)
1.77010895831740e+02	(-2.37528103641450e-04dB,-1.08013426376912e+01°)
1.77418948089014e+02	(-2.37448520591115e-04dB,-1.08263175837913e+01°)
1.77827941003890e+02	(-2.37368966422942e-04dB,-1.08513506320544e+01°)
1.78237876744807e+02	(-2.37289446764899e-04dB,-1.08764419201686e+01°)
1.78648757485203e+02	(-2.37209967320173e-04dB,-1.09015915861662e+01°)
1.79060585403527e+02	(-2.37130533919246e-04dB,-1.09267997684249e+01°)
1.79473362683250e+02	(-2.37051152488071e-04dB,-1.09520666056689e+01°)
1.79887091512876e+02	(-2.36971829060608e-04dB,-1.09773922369696e+01°)
1.80301774085954e+02	(-2.36892569779789e-04dB,-1.10027768017465e+01°)
1.80717412601090e+02	(-2.36813380892696e-04dB,-1.10282204397688e+01°)
1.81134009261958e+02	(-2.36734268771776e-04dB,-1.10537232911558e+01°)
1.81551566277311e+02	(-2.36655239891699e-04dB,-1.10792854963782e+01°)
1.81970085860996e+02	(-2.36576300840927e-04dB,-1.11049071962589e+01°)
1.82389570231961e+02	(-2.36497458325573e-04dB,-1.11305885319746e+01°)
1.82810021614272e+02	(-2.36418719173258e-04dB,-1.11563296450560e+01°)
1.83231442237119e+02	(-2.36340090327328e-04dB,-1.11821306773894e+01°)
1.83653834334832e+02	(-2.36261578863241e-04dB,-1.12079917712176e+01°)
1.84077200146893e+02	(-2.36183191970251e-04dB,-1.12339130691410e+01°)
1.84501541917945e+02	(-2.36104936955264e-04dB,-1.12598947141183e+01°)
1.84926861897805e+02	(-2.36026821278514e-04dB,-1.12859368494681e+01°)
1.85353162341478e+02	(-2.35948852497639e-04dB,-1.13120396188694e+01°)
1.85780445509167e+02	(-2.35871038324570e-04dB,-1.13382031663630e+01°)
1.86208713666284e+02	(-2.35793386600463e-04dB,-1.13644276363526e+01°)
